title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,candidate_id,scored_at,venue_score,citation_score,institution_score,usage_score,relevance_score,total_quality_score,review_reason,recommended_action
CRATOR a CRAwler for TOR: Turning Dark Web Pages into Open Source INTelligence,Daniel De Pascale; Giuseppe Cascavilla; Damian A. Tamburri; Willem Jan Van Den Heuvel,2024,Lecture notes in computer science,10.1007/978-3-031-70890-9_8,,https://doi.org/10.1007/978-3-031-70890-9_8,OpenAlex,dark web intelligence,discovery,5.0,28.0,426,2026-04-23T15:04:15.521928+00:00,40.0,21.25,40.0,0.0,25.0,27.38,Below quality threshold,reject
A systematic review on research utilising artificial intelligence for open source intelligence (OSINT) applications,Thomas Browne; Mohammad Z. Abedin; Mohammad Jabed Morshed Chowdhury,2024,International Journal of Information Security,10.1007/s10207-024-00868-2,,https://doi.org/10.1007/s10207-024-00868-2,OpenAlex,OSINT research,discovery,21.0,210.0,463,2026-04-23T15:04:15.521928+00:00,40.0,45.06,40.0,0.0,25.0,34.52,Below quality threshold,reject
Addressing Challenges in a Dangerous World: Developing a Design Science Artifact for Advancing Open Source Intelligence (OSINT) Research,Franz Kayser; Thomas R. Mayer; Michael Bücker,2025,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2025.646,,https://doi.org/10.24251/hicss.2025.646,OpenAlex,OSINT research,discovery,1.0,0.0,464,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,25.0,23.64,Below quality threshold,reject
RESEARCH OF EXISTING OSINT TOOLS AND APPROACHES IN THE CONTEXT OF PERSONAL AND STATE INFORMATION SECURITY,Valeriia Ivkova; I.R. Opirskyi,2025,Komp'ûternì sistemi ta merežì,10.23939/csn2025.01.131,,https://doi.org/10.23939/csn2025.01.131,OpenAlex,OSINT research,discovery,1.0,4.0,465,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,0.0,18.64,Below quality threshold,reject
RESEARCH OF PROBLEMS OF ENSURING THE SECURITY OF PERSONAL DATA AND CONFIDENTIAL INFORMATION IN THE CONTEXT OF COUNTER-OSINT,Valeriia Ivkova; Іvan Оpirskyy,2024,Cybersecurity Education Science Technique,10.28925/2663-4023.2024.26.682,,https://doi.org/10.28925/2663-4023.2024.26.682,OpenAlex,OSINT research,discovery,2.0,2.0,466,2026-04-23T15:04:15.521928+00:00,40.0,11.07,40.0,0.0,0.0,19.32,Below quality threshold,reject
"Overcoming data siloes in cultural heritage crime research: a consolidated OSINT-derived dataset on art, antiquities, and the trade in cultural goods",Madison Leeson; Riccardo Giovanelli; Sara Ferro; Michela De Bernardin; Arianna Traviglia,2025,Archival Science,10.1007/s10502-025-09485-x,,https://doi.org/10.1007/s10502-025-09485-x,OpenAlex,OSINT research,discovery,3.0,18.0,467,2026-04-23T15:04:15.521928+00:00,40.0,19.85,40.0,0.0,0.0,21.96,Below quality threshold,reject
Using AI in OSINT Research,Varin Khera; Anand R. Prasad; Suksit Kwanoran,2024,River Publishers eBooks,10.1201/9788770047180-6,,https://doi.org/10.1201/9788770047180-6,OpenAlex,OSINT research,discovery,0.0,0.0,468,2026-04-23T15:04:15.521928+00:00,40.0,0.0,40.0,0.0,25.0,21.0,Below quality threshold,reject
Open-Source Intelligence Educational Resources: A Visual Perspective Analysis,Jhon Francined Herrera Cubides; Paulo Alonso Gaona-García; Salvador Sánchez‐Alonso,2020,Applied Sciences,10.3390/app10217617,,https://doi.org/10.3390/app10217617,OpenAlex,OSINT research,discovery,14.0,22.0,469,2026-04-23T15:04:15.521928+00:00,40.0,23.8,40.0,0.0,0.0,23.14,Below quality threshold,reject
Open source intelligence and AI: a systematic review of the GELSI literature,Riccardo Ghioni; Mariarosaria Taddeo; Luciano Floridi,2023,AI & Society,10.1007/s00146-023-01628-x,,https://doi.org/10.1007/s00146-023-01628-x,OpenAlex,OSINT research,discovery,27.0,49.0,470,2026-04-23T15:04:15.521928+00:00,40.0,44.37,40.0,0.0,25.0,34.31,Below quality threshold,reject
"Use and Abuse of Personal Information, Part I: Design of a Scalable OSINT Collection Engine",Elliott Rheault; Mary Nerayo; Jaden Leonard; Jack Kolenbrander; Christopher Henshaw; Madison G. Boswell; Alan J. Michaels,2024,Journal of Cybersecurity and Privacy,10.3390/jcp4030027,,https://doi.org/10.3390/jcp4030027,OpenAlex,OSINT research,discovery,4.0,22.0,471,2026-04-23T15:04:15.521928+00:00,100.0,18.36,80.0,0.0,0.0,42.51,Below quality threshold,reject
The long history of OSINT,Ludo Block,2023,Journal of Intelligence History,10.1080/16161262.2023.2224091,,https://doi.org/10.1080/16161262.2023.2224091,OpenAlex,OSINT research,discovery,20.0,7.0,472,2026-04-23T15:04:15.521928+00:00,40.0,38.82,40.0,0.0,0.0,27.65,Below quality threshold,reject
Conceptual Framework of an Intelligent Decision Support System for Smart City Disaster Management,Daekyo Jung; Vu Tran Tuan; Dai Quoc Tran; Minsoo Park; Seunghee Park,2020,Applied Sciences,10.3390/app10020666,,https://doi.org/10.3390/app10020666,OpenAlex,OSINT research,discovery,109.0,29.0,473,2026-04-23T15:04:15.521928+00:00,40.0,60.84,40.0,0.0,0.0,34.25,Below quality threshold,reject
The Eyes and Ears of the Dragon: Open-Source Intelligence and Chinese Foreign Policy during the Cold War,Huajie Jiang; Kazushi Minami,2023,Journal of Cold War Studies,10.1162/jcws_a_01141,,https://doi.org/10.1162/jcws_a_01141,OpenAlex,OSINT research,discovery,2.0,0.0,474,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,0.0,18.64,Below quality threshold,reject
Research by the method of an extended systematical literature review E-SLR the problem of ensuring the security of personal data when using OSINT,Natalia Romanova; Vitaly Gryzunov,2024,Herald of Dagestan State Technical University Technical Sciences,10.21822/2073-6185-2024-51-3-130-144,,https://doi.org/10.21822/2073-6185-2024-51-3-130-144,OpenAlex,OSINT research,discovery,1.0,21.0,475,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,0.0,17.87,Below quality threshold,reject
Values and Value Conflicts in the Context of OSINT Technologies for Cybersecurity Incident Response: A Value Sensitive Design Perspective,Thea Riebe; Julian Bäumler; Marc–André Kaufhold; Christian Reuter,2023,Computer Supported Cooperative Work (CSCW),10.1007/s10606-022-09453-4,,https://doi.org/10.1007/s10606-022-09453-4,OpenAlex,OSINT research,discovery,19.0,123.0,476,2026-04-23T15:04:15.521928+00:00,40.0,37.9,40.0,0.0,25.0,32.37,Below quality threshold,reject
Evaluation of LLM-based chatbots for OSINT-based Cyber Threat Awareness,Samaneh Shafee; Alysson Bessani; Pedro Ferreira,2024,Expert Systems with Applications,10.1016/j.eswa.2024.125509,,https://doi.org/10.1016/j.eswa.2024.125509,OpenAlex,OSINT research,discovery,38.0,68.0,477,2026-04-23T15:04:15.521928+00:00,40.0,56.66,40.0,0.0,0.0,33.0,Below quality threshold,reject
Development of an application for searching user profiles in social media as the initial stage of osint research,Alex Kotliarov; Н.І. Кушніренко; V. L. Nazarov,2025,INFORMATICS AND MATHEMATICAL METHODS IN SIMULATION,10.15276/imms.v15.no2.229,,https://doi.org/10.15276/imms.v15.no2.229,OpenAlex,OSINT research,discovery,0.0,0.0,478,2026-04-23T15:04:15.521928+00:00,40.0,0.0,40.0,0.0,25.0,21.0,Below quality threshold,reject
Open Source Intelligence Opportunities and Challenges: a Review,Sabina Szymoniak; Kacper Foks,2024,Advances in Science and Technology – Research Journal,10.12913/22998624/186036,,https://doi.org/10.12913/22998624/186036,OpenAlex,OSINT research,discovery,14.0,79.0,479,2026-04-23T15:04:15.521928+00:00,40.0,37.59,40.0,0.0,25.0,32.28,Below quality threshold,reject
Berkeley Protocol on Digital Open Source Investigations,Office of the United Nations High Commissioner for Human Rights,2022,United Nations eBooks,10.18356/9789210053433,,https://doi.org/10.18356/9789210053433,OpenAlex,open source investigation,discovery,34.0,0.0,483,2026-04-23T15:04:15.521928+00:00,40.0,44.51,40.0,0.0,25.0,34.35,Below quality threshold,reject
What would a feminist open source investigation look like?,Sophie Dyer; Gabriela Ivens,2020,Digital War,10.1057/s42984-020-00008-9,,https://doi.org/10.1057/s42984-020-00008-9,OpenAlex,open source investigation,discovery,18.0,25.0,484,2026-04-23T15:04:15.521928+00:00,40.0,27.58,40.0,0.0,25.0,29.27,Below quality threshold,reject
"Circuit Investigations With Open-Source Miniaturized Microscopes: Past, Present and Future",Daniel Aharoni; Tycho M. Hoogland,2019,Frontiers in Cellular Neuroscience,10.3389/fncel.2019.00141,,https://doi.org/10.3389/fncel.2019.00141,OpenAlex,open source investigation,discovery,247.0,91.0,485,2026-04-23T15:04:15.521928+00:00,40.0,75.01,40.0,0.0,0.0,38.5,Below quality threshold,reject
ezTrack: An open-source video analysis pipeline for the investigation of animal behavior,Zachary T. Pennington; Zhe Dong; Yu Feng; Lauren M. Vetere; Lucia Page-Harley; Tristan Shuman; Denise J. Cai,2019,Scientific Reports,10.1038/s41598-019-56408-9,,https://doi.org/10.1038/s41598-019-56408-9,OpenAlex,open source investigation,discovery,242.0,13.0,486,2026-04-23T15:04:15.521928+00:00,40.0,74.58,40.0,0.0,0.0,38.37,Below quality threshold,reject
Open-source investigation as a genre of conflict reporting,Sandra Ristovska,2022,Journalism,10.1177/14648849211060627,,https://doi.org/10.1177/14648849211060627,OpenAlex,open source investigation,discovery,10.0,29.0,487,2026-04-23T15:04:15.521928+00:00,40.0,23.8,40.0,0.0,0.0,23.14,Below quality threshold,reject
Of degens and defrauders: Using open-source investigative tools to investigate decentralized finance frauds and money laundering,Arianna Trozze; T. Davies; Bennett Kleinberg,2023,Forensic Science International Digital Investigation,10.1016/j.fsidi.2023.301575,,https://doi.org/10.1016/j.fsidi.2023.301575,OpenAlex,open source investigation,discovery,17.0,39.0,488,2026-04-23T15:04:15.521928+00:00,100.0,35.93,40.0,0.0,0.0,41.78,Below quality threshold,reject
The Syrian Archive: A Methodological Case Study of Open-Source Investigation of State Crime Using Video Evidence from Social Media Platforms,Jeff Deutch; Hadi Habal,2018,State Crime Journal,10.13169/statecrime.7.1.0046,,https://doi.org/10.13169/statecrime.7.1.0046,OpenAlex,open source investigation,discovery,31.0,7.0,489,2026-04-23T15:04:15.521928+00:00,40.0,32.32,40.0,0.0,0.0,25.7,Below quality threshold,reject
Artificial Intelligence in Data Analysis for Open-Source Investigations,Teodor-Cristian Rădoi,2023,,10.1109/ecai58194.2023.10193894,,https://doi.org/10.1109/ecai58194.2023.10193894,OpenAlex,open source investigation,discovery,9.0,2.0,490,2026-04-23T15:04:15.521928+00:00,40.0,25.54,40.0,0.0,0.0,23.66,Below quality threshold,reject
"Acne phototherapy with a high-intensity, enhanced, narrow-band, blue light source: an open study and in vitro investigation",Akira Kawada; Yoshinori Aragane; Hiroko Kameyama; Yoshiko Sangen; Tadashi Tezuka,2002,Journal of Dermatological Science,10.1016/s0923-1811(02)00068-3,,https://doi.org/10.1016/s0923-1811(02)00068-3,OpenAlex,open source investigation,discovery,201.0,23.0,491,2026-04-23T15:04:15.521928+00:00,40.0,47.71,40.0,0.0,0.0,30.31,Below quality threshold,reject
On the abandonment and survival of open source projects: An empirical investigation,Guilherme Avelino; Eleni Constantinou; Marco Túlio Valente; Alexander Serebrenik,2019,,10.1109/esem.2019.8870181,,https://doi.org/10.1109/esem.2019.8870181,OpenAlex,open source investigation,discovery,91.0,60.0,492,2026-04-23T15:04:15.521928+00:00,40.0,54.51,40.0,0.0,0.0,32.35,Below quality threshold,reject
"Emerging hybrid networks of verification, accountability, and institutional resilience: the U.S. Capitol Riot and the work of open-source investigation",Stephen D. Reese; Bin Chen,2022,Journal of Communication,10.1093/joc/jqac030,,https://doi.org/10.1093/joc/jqac030,OpenAlex,open source investigation,discovery,12.0,34.0,493,2026-04-23T15:04:15.521928+00:00,40.0,26.52,40.0,0.0,0.0,23.95,Below quality threshold,reject
A New Age of Open Source Investigation: International Examples,Eliot Higgins,2016,Advanced sciences and technologies for security applications,10.1007/978-3-319-47671-1_12,,https://doi.org/10.1007/978-3-319-47671-1_12,OpenAlex,open source investigation,discovery,6.0,0.0,494,2026-04-23T15:04:15.521928+00:00,40.0,9.43,40.0,0.0,25.0,23.83,Below quality threshold,reject
Ethical Considerations for Open-Source Investigations into International Crimes,Alexa Koenig,2024,AJIL Unbound,10.1017/aju.2024.2,,https://doi.org/10.1017/aju.2024.2,OpenAlex,open source investigation,discovery,5.0,0.0,495,2026-04-23T15:04:15.521928+00:00,40.0,21.25,40.0,0.0,0.0,22.38,Below quality threshold,reject
Safer Viewing: A Study of Secondary Trauma Mitigation Techniques in Open Source Investigations.,Elise Baker; Eric Stover; Rohini J. Haar; Andrea Lampros; Alexa Koenig,2020,PubMed,,,https://pubmed.ncbi.nlm.nih.gov/32669808,OpenAlex,open source investigation,discovery,8.0,4.0,496,2026-04-23T15:04:15.521928+00:00,40.0,16.51,40.0,0.0,25.0,25.95,Below quality threshold,reject
The ethics of open source investigations: Navigating privacy challenges in a gray zone information landscape,Maartje van der Woude; Tomás Dodds; Guillén Torres,2024,Journalism,10.1177/14648849241274104,,https://doi.org/10.1177/14648849241274104,OpenAlex,open source investigation,discovery,7.0,34.0,497,2026-04-23T15:04:15.521928+00:00,40.0,26.09,40.0,0.0,25.0,28.83,Below quality threshold,reject
OPEN SOURCE IMAGE-PROCESSING TOOLS FOR LOW-COST UAV-BASED LANDSLIDE INVESTIGATIONS,U. Niethammer; Sabrina Rothmund; U. Schwaderer; Johannes Zeman; Manfred Joswig,2012,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",10.5194/isprsarchives-xxxviii-1-c22-161-2011,,https://doi.org/10.5194/isprsarchives-xxxviii-1-c22-161-2011,OpenAlex,open source investigation,discovery,94.0,22.0,499,2026-04-23T15:04:15.521928+00:00,40.0,42.97,40.0,0.0,0.0,28.89,Below quality threshold,reject
An empirical investigation into a large-scale Java open source code repository,Mark Grechanik; Collin McMillan; Luca DeFerrari; M. Comi; Stefano Crespi; Denys Poshyvanyk; Chen Fu; Qing Xie; Carlo Ghezzi,2010,,10.1145/1852786.1852801,,https://doi.org/10.1145/1852786.1852801,OpenAlex,open source investigation,discovery,91.0,26.0,501,2026-04-23T15:04:15.521928+00:00,40.0,40.06,40.0,0.0,0.0,28.02,Below quality threshold,reject
Open Source Investigation for Human Rights Reporting,Christoph Koettl; Daragh Murray; Sam Dubberley,2019,Oxford University Press eBooks,10.1093/law/9780198836063.003.0002,,https://doi.org/10.1093/law/9780198836063.003.0002,OpenAlex,open source investigation,discovery,4.0,92.0,502,2026-04-23T15:04:15.521928+00:00,100.0,8.79,40.0,0.0,25.0,38.64,Below quality threshold,reject
"Ukraine, Open-Source Investigations, and the Future of International Legal Discourse",Henning Lahmann,2022,American Journal of International Law,10.1017/ajil.2022.52,,https://doi.org/10.1017/ajil.2022.52,OpenAlex,open source investigation,discovery,5.0,0.0,504,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,0.0,20.51,Below quality threshold,reject
Investigating the impact of cybersecurity policy awareness on employees’ cybersecurity behavior,Ling Li; Wu He; Li Da Xu; Ivan K. Ash; Mohd Anwar; Xiaohong Yuan,2018,International Journal of Information Management,10.1016/j.ijinfomgt.2018.10.017,,https://doi.org/10.1016/j.ijinfomgt.2018.10.017,OpenAlex,cybersecurity,discovery,317.0,61.0,534,2026-04-23T15:04:15.521928+00:00,40.0,77.78,40.0,0.0,25.0,44.33,Below quality threshold,reject
Data Mining and Machine Learning in Cybersecurity,Sumeet Dua; Xian Du,2011,Auerbach Publications eBooks,10.1201/b10867,,https://doi.org/10.1201/b10867,OpenAlex,cybersecurity,discovery,385.0,0.0,539,2026-04-23T15:04:15.521928+00:00,40.0,69.8,40.0,0.0,25.0,41.94,Below quality threshold,reject
"Human factors in cybersecurity; examining the link between Internet addiction, impulsivity, attitudes towards cybersecurity, and risky cybersecurity behaviours",Lee Hadlington,2017,Heliyon,10.1016/j.heliyon.2017.e00346,,https://doi.org/10.1016/j.heliyon.2017.e00346,OpenAlex,cybersecurity,discovery,263.0,44.0,543,2026-04-23T15:04:15.521928+00:00,40.0,71.65,40.0,0.0,25.0,42.5,Below quality threshold,reject
Gender difference and employees' cybersecurity behaviors,Mohd Anwar; Wu He; Ivan K. Ash; Xiaohong Yuan; Ling Li; Li Da Xu,2016,Computers in Human Behavior,10.1016/j.chb.2016.12.040,,https://doi.org/10.1016/j.chb.2016.12.040,OpenAlex,cybersecurity,discovery,306.0,44.0,547,2026-04-23T15:04:15.521928+00:00,40.0,72.83,40.0,0.0,25.0,42.85,Below quality threshold,reject
Introduction: new directions in cybercrime research,Adam M. Bossler; Tamar Berenblum,2019,Journal of Crime and Justice,10.1080/0735648x.2019.1692426,,https://doi.org/10.1080/0735648x.2019.1692426,OpenAlex,cybercrime research,discovery,87.0,7.0,579,2026-04-23T15:04:15.521928+00:00,40.0,53.62,40.0,0.0,50.0,42.08,Below quality threshold,reject
Disciplinary and Interdisciplinary Trends in Cybercrime Research: An Examination,Brian K. Payne; Lora Hadzhidimova,2020,ODU Digital Commons (Old Dominion University),10.5281/zenodo.3741131,,https://digitalcommons.odu.edu/sociology_criminaljustice_fac_pubs/41,OpenAlex,cybercrime research,discovery,19.0,0.0,580,2026-04-23T15:04:15.521928+00:00,40.0,28.43,40.0,0.0,50.0,34.53,Below quality threshold,reject
Honeypots for Cybercrime Research,Robert C. Perkins; C. Jordan Howell,2021,,10.1007/978-3-030-74837-1_12,,https://doi.org/10.1007/978-3-030-74837-1_12,OpenAlex,cybercrime research,discovery,10.0,65.0,581,2026-04-23T15:04:15.521928+00:00,40.0,21.25,40.0,0.0,50.0,32.38,Below quality threshold,reject
A tight scrape: methodological approaches to cybercrime research data collection in adversarial environments,Kieron Ivy Turk; Sergio Pastrana; Ben Collier,2020,,10.1109/eurospw51379.2020.00064,,https://doi.org/10.1109/eurospw51379.2020.00064,OpenAlex,cybercrime research,discovery,25.0,24.0,582,2026-04-23T15:04:15.521928+00:00,40.0,32.93,40.0,0.0,50.0,35.88,Below quality threshold,reject
Digital Ethnography in Cybercrime Research: Some Notes from the Virtual Field,Nick Gibbs; Alexandra Hall,2021,,10.1007/978-3-030-74837-1_14,,https://doi.org/10.1007/978-3-030-74837-1_14,OpenAlex,cybercrime research,discovery,19.0,75.0,583,2026-04-23T15:04:15.521928+00:00,40.0,30.92,40.0,0.0,50.0,35.28,Below quality threshold,reject
Illuminating the Dark Side of the Internet with Actor-Network Theory: An Integrative Review of Current Cybercrime Research,Rocci Luppicini,2014,SHILAP Revista de lepidopterología,,,https://doaj.org/article/8e4b3deb19354b929312ce3f25d34454,OpenAlex,cybercrime research,discovery,10.0,36.0,584,2026-04-23T15:04:15.521928+00:00,40.0,12.36,40.0,0.0,50.0,29.71,Below quality threshold,reject
Journal of Information Security and Cybercrimes Research,,2020,Journal of Information Security and Cybercrimes Research,10.26735/plbs6795,,https://doi.org/10.26735/plbs6795,OpenAlex,cybercrime research,discovery,7.0,0.0,585,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,25.0,25.51,Below quality threshold,reject
"The Ethics of Web Crawling and Web Scraping in Cybercrime Research: Navigating Issues of Consent, Privacy, and Other Potential Harms Associated with Automated Data Collection",Russell Brewer; Bryce Westlake; Tahlia Hart; Omar Arauza,2021,,10.1007/978-3-030-74837-1_22,,https://doi.org/10.1007/978-3-030-74837-1_22,OpenAlex,cybercrime research,discovery,22.0,93.0,586,2026-04-23T15:04:15.521928+00:00,40.0,33.38,40.0,0.0,50.0,36.01,Below quality threshold,reject
Navigating an Interdisciplinary Approach to Cybercrime Research,Laurie Giddens; Stacie Petter; Gisela Bichler; Pablo Rivas; Michael H. Fullilove; Tomas Cerny,2023,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2023.443,,https://doi.org/10.24251/hicss.2023.443,OpenAlex,cybercrime research,discovery,4.0,30.0,587,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,50.0,30.51,Below quality threshold,reject
Trends in Computer Crime and Cybercrime Research During the Period 1974-2006: A Bibliometric Approach,ChiChao Lu; Wen-Yuan Jen; Weiping Chang,2007,Lecture notes in computer science,10.1007/978-3-540-71549-8_23,,https://doi.org/10.1007/978-3-540-71549-8_23,OpenAlex,cybercrime research,discovery,6.0,15.0,588,2026-04-23T15:04:15.521928+00:00,40.0,5.68,40.0,0.0,50.0,27.71,Below quality threshold,reject
Profiling and Predictions: Challenges in Cybercrime Research Datafication,Bart Custers,2021,,10.1007/978-3-030-74837-1_4,,https://doi.org/10.1007/978-3-030-74837-1_4,OpenAlex,cybercrime research,discovery,2.0,38.0,590,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,50.0,27.87,Below quality threshold,reject
Use of Artificial Intelligence to Support Cybercrime Research,Stuart E. Middleton,2021,,10.1007/978-3-030-74837-1_11,,https://doi.org/10.1007/978-3-030-74837-1_11,OpenAlex,cybercrime research,discovery,3.0,40.0,591,2026-04-23T15:04:15.521928+00:00,40.0,8.79,40.0,0.0,50.0,28.64,Below quality threshold,reject
Ethics and Internet-Based Cybercrime Research in Australia,James Martin,2021,,10.1007/978-3-030-74837-1_20,,https://doi.org/10.1007/978-3-030-74837-1_20,OpenAlex,cybercrime research,discovery,2.0,36.0,593,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,50.0,27.87,Below quality threshold,reject
On the Need for Policing Cybercrime Research,Adam M. Bossler; Thomas J. Holt,2016,,,,https://digitalcommons.georgiasouthern.edu/crimjust-criminology-facpubs/250/,OpenAlex,cybercrime research,discovery,2.0,0.0,594,2026-04-23T15:04:15.521928+00:00,40.0,3.62,40.0,0.0,50.0,27.09,Below quality threshold,reject
Cybercrime Research,Jonathan Nii Barnor Barnor; Alfred A. Patterson,2020,Advances in information quality and management,10.4018/978-1-7998-2610-1.ch024,,https://doi.org/10.4018/978-1-7998-2610-1.ch024,OpenAlex,cybercrime research,discovery,1.0,83.0,595,2026-04-23T15:04:15.521928+00:00,40.0,2.89,40.0,0.0,50.0,26.87,Below quality threshold,reject
Research trends in cybercrime victimization during 2010–2020: a bibliometric analysis,Huong Thi Ngoc Ho; Hai Thanh Luong,2022,SN Social Sciences,10.1007/s43545-021-00305-4,,https://doi.org/10.1007/s43545-021-00305-4,OpenAlex,cybercrime research,discovery,31.0,53.0,596,2026-04-23T15:04:15.521928+00:00,40.0,42.77,40.0,0.0,25.0,33.83,Below quality threshold,reject
Researching Cybercrimes,"Middleton, Stuart",2021,,10.1007/978-3-030-74837-1,,https://doi.org/10.1007/978-3-030-74837-1,OpenAlex,cybercrime research,discovery,16.0,0.0,597,2026-04-23T15:04:15.521928+00:00,40.0,28.15,40.0,0.0,25.0,29.45,Below quality threshold,reject
Advancing research on the Human Factor in Cybercrime,Benoît Dupont; Thomas J. Holt,2022,Computers in Human Behavior,10.1016/j.chb.2022.107410,,https://doi.org/10.1016/j.chb.2022.107410,OpenAlex,cybercrime research,discovery,11.0,26.0,598,2026-04-23T15:04:15.521928+00:00,40.0,25.2,40.0,0.0,25.0,28.56,Below quality threshold,reject
A bibliometric study of research trends in cross-border cybercrime,Yilin Zhao; Le Cheng,2024,International Journal of Legal Discourse,10.1515/ijld-2024-2001,,https://doi.org/10.1515/ijld-2024-2001,OpenAlex,cybercrime research,discovery,12.0,43.0,599,2026-04-23T15:04:15.521928+00:00,40.0,34.87,40.0,0.0,25.0,31.46,Below quality threshold,reject
Consolidated Taxonomy and Research Roadmap for Cybercrime and Cyberterrorism,Babak Akhgar; Michał Choraś; Ben Brewster; Francesca M. Bosco; Elise Vermeersch; Vittoria Luda; Damian Puchalski; Douglas Wells,2016,Advanced sciences and technologies for security applications,10.1007/978-3-319-38930-1_16,,https://doi.org/10.1007/978-3-319-38930-1_16,OpenAlex,cybercrime research,discovery,14.0,11.0,600,2026-04-23T15:04:15.521928+00:00,40.0,17.79,40.0,0.0,25.0,26.34,Below quality threshold,reject
"Offending and Victimization in the Digital Age: Comparing Correlates of Cybercrime and Traditional Offending-Only, Victimization-Only and the Victimization-Offending Overlap",Marleen Weulen Kranenbarg; Thomas J. Holt; Jean‐Louis van Gelder,2017,Deviant Behavior,10.1080/01639625.2017.1411030,,https://doi.org/10.1080/01639625.2017.1411030,OpenAlex,cybercrime research,discovery,109.0,56.0,601,2026-04-23T15:04:15.521928+00:00,40.0,53.66,40.0,0.0,25.0,37.1,Below quality threshold,reject
A Qualitative Research on the Impact and Challenges of Cybercrimes,V Krishna Viraja; Pradnya Purandare,2021,Journal of Physics Conference Series,10.1088/1742-6596/1964/4/042004,,https://doi.org/10.1088/1742-6596/1964/4/042004,OpenAlex,cybercrime research,discovery,10.0,15.0,602,2026-04-23T15:04:15.521928+00:00,40.0,21.25,80.0,0.0,25.0,33.38,Below quality threshold,reject
The Novelty of ‘Cybercrime’,Majid Yar,2005,European Journal of Criminology,10.1177/147737080556056,,https://doi.org/10.1177/147737080556056,OpenAlex,cybercrime,discovery,489.0,57.0,636,2026-04-23T15:04:15.521928+00:00,40.0,68.15,40.0,0.0,25.0,41.45,Below quality threshold,reject
Measuring the Cost of Cybercrime,Ross Anderson; Chris Barton; Rainer Böhme; Richard Clayton; Michel van Eeten; Michael Levi; Tyler Moore; Stefan Savage,2013,,10.1007/978-3-642-39498-0_12,,https://doi.org/10.1007/978-3-642-39498-0_12,OpenAlex,cybercrime,discovery,547.0,35.0,637,2026-04-23T15:04:15.521928+00:00,40.0,79.97,40.0,0.0,25.0,44.99,Below quality threshold,reject
Cybercrime and Society,Majid Yar,2006,,10.4135/9781446212196,,https://doi.org/10.4135/9781446212196,OpenAlex,cybercrime,discovery,402.0,2.0,638,2026-04-23T15:04:15.521928+00:00,40.0,65.07,40.0,0.0,25.0,40.52,Below quality threshold,reject
On the definition and classification of cybercrime,Sarah Gordon; Richard Ford,2006,Journal in Computer Virology,10.1007/s11416-006-0015-z,,https://doi.org/10.1007/s11416-006-0015-z,OpenAlex,cybercrime,discovery,303.0,9.0,639,2026-04-23T15:04:15.521928+00:00,40.0,59.29,40.0,0.0,25.0,38.79,Below quality threshold,reject
Cybercrime: The Transformation of Crime in the Information Age,Audrey Guinchard,2008,Information Communication & Society,10.1080/13691180802158557,,https://doi.org/10.1080/13691180802158557,OpenAlex,cybercrime,discovery,352.0,0.0,640,2026-04-23T15:04:15.521928+00:00,40.0,64.39,40.0,0.0,25.0,40.32,Below quality threshold,reject
Applying Routine Activity Theory to Cybercrime: A Theoretical and Empirical Analysis,Rutger Leukfeldt; Majid Yar,2016,Deviant Behavior,10.1080/01639625.2015.1012409,,https://doi.org/10.1080/01639625.2015.1012409,OpenAlex,cybercrime,discovery,386.0,30.0,641,2026-04-23T15:04:15.521928+00:00,40.0,77.7,40.0,0.0,25.0,44.31,Below quality threshold,reject
An Extended Model of Cybercrime Investigations,Séamus Ó Ciardhuáin,2004,International journal of digital evidence,,,https://utica.edu/academic/institutes/ecii/publications/articles/A0B70121-FD6C-3DBA-0EA5C3E93CC575FA.pdf,OpenAlex,cybercrime,discovery,244.0,6.0,642,2026-04-23T15:04:15.521928+00:00,40.0,53.12,40.0,0.0,25.0,36.94,Below quality threshold,reject
Examining the Applicability of Lifestyle-Routine Activities Theory for Cybercrime Victimization,Thomas J. Holt; Adam M. Bossler,2008,Deviant Behavior,10.1080/01639620701876577,,https://doi.org/10.1080/01639620701876577,OpenAlex,cybercrime,discovery,439.0,37.0,643,2026-04-23T15:04:15.521928+00:00,40.0,68.96,40.0,0.0,25.0,41.69,Below quality threshold,reject
